제목,장르,상영시간,개봉일,인기도,평균 평점,평점 수,제작비,수익,제작사,원어,시놉시스,키워드
라이프 오브 브라이언,['코미디'],94.0,1979-08-17,6.6688,7.763,4553.0,4000000.0,20700000.0,['Handmade Films'],en,예수와 같은 시간 옆집에서 태어난 브라이언은 유태인을 지배하는 로마인을 싫어한다. 그러나 정작 자신의 아버지는 로마병사였던 '졸라큰꼬추'(사람이름) 였다는걸 알고 그걸 부정하는 와중에 검투사 경기장에서 만난 유태인 레지스탕스인 민족전선 유태와.. 아니 해방전선 유태.. 음.. 민족해방 유태였나? 잠깐..뭐였지?,"['roman empire', 'jewry', 'three kings', 'crucifixion', 'bethlehem', 'independence movement', 'satire', 'parody', 'religion', 'sermon on the mount', 'anarchic comedy', 'mother son relationship', 'hilarious', 'religious satire']"
알카트라즈 탈출,"['드라마', '스릴러']",113.0,1979-06-22,11.9278,7.509,2887.0,8000000.0,43004381.0,['Paramount Pictures'],en,"1960년, 샌프란시스코. 중죄수들만 수감하는 샌프란시스코만 바로 앞의 작은섬 알카트래즈 연방 교도소. 냉철하고 이지적인 죄수 모리스는 입소 첫날부터 탈옥할 생각을 하지만 악마같이 집요한 소장의 표현대로 아직 한번도 탈옥에 성공한 예가 없는 교도소답게 허점이 보이지 않는다.  그러나 모리스는 감방 건물이 낡고 바다의 염분 습기 때문에 시멘트와 철근이 많이 삭았다는 점에 착안하고 환기통을 뚫고 천정을 통해서 탈출할 계획을 세운다. 존과 클리렌스 형제와 함께 탈옥을 약속하고 환기통 구멍을 파면서 교도관들의 눈속임을 위한 위장물과 탈옥장비들을 동료 죄수들의 도움으로 하나씩 준비한다.  몇차례 위기를 넘긴 일행은 치밀한 계획과 대담한 행동으로 환기통을 통하여 교도소 건물을 빠져나간다. 다음날 아침 교도소는 비상령이 내리고 근처 바다에서 대대적인 수색 작업을 폈으나, 끝내 찾지못하고 곧이어 알카트래즈 감옥이 폐쇄되는데...","['prison', 'island', 'based on novel or book', 'escape', 'san francisco, california', 'alcatraz prison', 'prison warden', 'based on true story', 'prison escape', '1960s', 'escape plan']"
텐,"['코미디', '로맨스']",122.0,1979-10-05,5.3427,5.743,269.0,7000000.0,107000000.0,['Orion Pictures'],en,"유명한 작곡가인 조지는 42살의 생일을 맞는다. 하지만, 가수인 애인 샘과의 사랑도 이제는 가슴이 설레이지 않고, 인생무상, 허무하기만 하다. 그 때 문득 길 위에 옆 차에 탄 웨딩드레스의 젊은 여자, 제니를 보고 단숨에 사랑에 빠져 무작정 결혼식장까지 쫓아간다. 그리고는 그녀의 아버지인 치과의사에게 충치를 한꺼번에 6개씩이나 치료를 받아가면서 그녀의 소재를 알아내 신혼 여행지 멕시코까지 쫓아간다.","['beach', 'mexico', 'midlife crisis', 'honeymoon', 'crisis', 'marriage', 'romance', 'love', 'songwriter', 'cliché']"
워리어,"['액션', '스릴러']",94.0,1979-02-01,6.2175,7.666,2206.0,4000000.0,22490039.0,['Paramount Pictures'],en,뉴욕 전체를 아우르는 최강 갱단의 리더가 암살당했다! 억울하게 살해 세력으로 몰린 한 갱단. 덕분에 경찰에게 쫓기는 것은 물론 다른 조직들의 먹잇감이 되고 마는데. 다시 본거지로 돌아가기 위한 이들의 사투가 뉴욕 한복판에서 펼쳐진다.,"['new york city', 'street gang', 'gangster', 'disc jockey', 'gang war', 'coney island', 'survival', 'pursuit', 'gang member', 'new york subway', 'girl gang', 'framed for murder', 'warrior', 'violence', 'excited']"
007 문레이커,"['액션', '모험', '스릴러', 'SF']",126.0,1979-06-26,4.8352,6.168,2027.0,34000000.0,210308099.0,['EON Productions'],en,"미국에서 영국으로 공수 중이던 문레이커가 공중에서 탈취를 당한다. 조사를 맡은 007은 문레이커를 개발, 제조한 장본인인 드랙스가 배후의 인물임을 알아낸다. 드랙스 산업기지에 위장 취업한 CIA 요원 굿헤드와 연합으로 조사하던 중 드랙스가 인간만을 죽이는 독가스로 지구를 깨끗이 청소한 뒤 선택받은 젊은 남녀들로 신인류 제국을 건설하려는 야망을 가지고 있다는 것을 알아낸다. 007과 굿헤드는 몰래 그들 틈에 숨어 드랙스의 우주 기지로 날아간다. 레이더 방해 장치를 파괴하여 지상에 이곳의 존재를 알린 007과 굿헤드는 발사된 독가스 캡슐을 걱정한다.","['space marine', 'based on novel or book', 'venice, italy', 'mass murder', 'rio de janeiro', 'space suit', 'marcus square', 'space battle', 'secret base', 'gondola', 'laser', 'space travel', 'utopia', 'boat chase', 'mi6', 'astronaut', 'british secret service', 'space shuttle', 'cable car']"
스타 트렉,"['SF', '모험', '미스터리']",131.0,1979-12-07,10.0463,6.475,1776.0,44000000.0,139346243.0,['Paramount Pictures'],en,거대한 에너지를 가진 미지의 물체가 지구로 다가오는 것이 포착된다. 마치 블랙홀처럼 주변의 모든 것을 빨아들이면서 지구로 다가오는 이 미지의 물체를 막기 위해 일선에서 물러나있던 커크 선장(윌리엄 샤트너 분)이 돌아온다. 후임 선장인 덱커와 충돌을 빚으며 엔터프라이즈호를 지휘하던 커크 선장은 마침내 물체의 비밀을 밝혀낸다. 그 물체는 생명을 가진 기계로서 어떤 메시지를 방출하면서 지구로 향하고 있다. 지구를 무사히 구하려면 그 메시지에 해당하는 답을 해줘야한다. 이에 커크 일행은 기계의 중심부로 침투하는데...,"['spacecraft', 'man vs machine', 'artificial intelligence (a.i.)', 'self sacrifice', 'teleportation', 'san francisco, california', 'starship', 'space opera', 'reunited friends', 'outer space', 'lighthearted', 'didactic', 'reminiscent', 'sentimental', 'sympathetic']"
양철북,"['드라마', '역사', '전쟁']",162.0,1979-05-02,4.2983,6.954,483.0,3000000.0,17000000.0,['Jadran Film'],de,"1924년 단찌히에서 오스카가 태어난다. 놀랍도록 조숙한 아기는 독일인과 폴란드인이 섞여 살고 있는 단찌히에서, 독일인인 알프레도와 폴란드인 얀, 두 아버지 사이에서 자라 세번째 생일을 맞던 날 사다리에서 고의적으로 추락, 성장이 정지된다. 오스카는 생일날 선물로 받은 양철북을 두드리면서 나치의 행동을 분열시키는등 끊임없는 소동을 일으킨다. 서커스단 친구들과 함께 연주 여행을 떠난 오스카는 매혹적인 소녀와 사랑에 빠진다. 오스카의 악마적인 요소는 두 아버지와 어머니를 죽음으로 몰고 간다. 어떤 의무로부터도 자유로운 오스카에게도 성과 죽음은 두려운 난제로 다가온다.","['puberty', 'adultery', 'lolita', 'suicide', 'based on novel or book', 'nazi', 'dwarf', 'gdansk, poland', 'circus', 'toxication', 'germany', 'married couple', 'pregnancy', 'world war ii', ""family's daily life"", 'dark comedy', 'suffocation', 'lone wolf', 'kaschubia', 'synagogue', 'hitler youth', 'coming of age', 'family feud', 'red army', 'prenatal', '1920s', '1940s', 'new german cinema', '1930s', 'invasion of normandy', 'war drama']"
맨하탄,"['코미디', '드라마', '로맨스']",96.0,1979-04-25,3.662,7.724,2458.0,9000000.0,40194067.0,['United Artists'],en,"맨하탄에 사는 이혼남 아이삭은 자신의 직업에 회의를 느끼는 TV 쇼 작가다. 아이삭은 17세 소녀와 내키지 않는 불편한 데이트를 하고, 그의 유부남 친구 예일은 메리와 바람을 핀다. 아이삭은 예일에게 메리와의 관계를 정리하라고 충고를 하는데, 메리를 만난 아이삭은 오히려 사랑을 느끼게 된다. 재즈음악가이기도 한 우디 앨런이 자신이 좋아하는 조지 거쉰의 음악과 자신이 아끼고 좋아하는 배우들과 함께 만든 ‘뉴욕 예찬’으로, 섬세한 연출력으로 맨하탄의 남녀 관계를 자전적 요소와 함께 로맨틱 코미디로 만들어냈다. 맨하탄의 도심 풍경이 세련되게 빛나는 흑백 영화로 동틀 무렵 앨런과 다이안 키튼이 다리를 배경으로 앉아 있는 아름다운 장면이 인상적이다.","['adultery', 'lolita', 'new york city', 'based on novel or book', 'based on true story', 'love', 'mistress', 'black and white', 'writer', 'relationship', 'divorce', 'true crime', 'manhattan, new york city', 'married']"
록키 2,['드라마'],120.0,1979-06-15,4.3139,7.275,4483.0,7000000.0,85187855.0,['United Artists'],en,"아폴로와의 혈투가 끝난 후, 록키는 복싱을 은퇴하지만 애드리언의 결혼하며 명성과 행복을 얻는다. 하지만 자존심을 회복하기 위해 록키를 자극하여 리턴 매치를 열려는 아폴로 크리드. 궁핍함에서 빠져나오지 못하던 록키는 가족을 부양하겠단 심정으로 다시 복싱을 통해 재기하려 하지만 여의치 않다. 그러던 중 , 복싱으로 돌아가는 걸 반대하던 애드리언이 난산으로 사경을 헤매던 중 이겨달라는 말 한마디에 록키는 분연히 일어선다. 결전의 날이 오고, 처절한 사투의 마지막 순간 챔피언과 도전자 모두 쓰러지는데...","['hero', 'husband wife relationship', 'coma', 'transporter', ""love of one's life"", 'intensive care', 'sports', 'publicity', 'boxer', 'training', 'world champion', 'victory', 'hospital', 'boxing', 'cheerful', 'powerful']"
검은 종마,"['가족', '모험']",118.0,1979-10-13,3.9223,7.029,298.0,2700000.0,37799643.0,['United Artists'],en,11살 난 알렉 아버지와함께 여행하던 알렉은 배안에서 아랍인들이 싣고가는 야생마 한마리를 보게된다 아버지는 카드놀이에서딴 주머니칼과 알렉산더대왕의 애마불랙의 조각상을 알렉에게준다 그때부터 알렉은 야생마에게 불랙이라는 이름을 붙여주고. 친구처럼 지낸다. 그러나 알렉이 탄배가 폭풍우로 침몰한다.  천만다행으로 알랙은 불랙에게 매달려 표류하다가 어느 무인도에 닿는다 무인도에서 알렉과 불랙은 더욱 가까워진다. 마침내 이탈리아 선원들에 의해 구조된 알렉은 불랙과 함께 집으로 돌아온다. 과거 조련사 였던 헤리할아버지는 불랙을 한눈에 알아보고 경주용 말로 길들이는데...,"['rescue', 'poker', 'sports', 'shipwreck', 'human animal relationship', 'horse', 'barn', 'training', 'survival', ""based on children's book"", 'jockey', 'deserted island', 'horse racing', 'stallion']"
차이나 신드롬,"['드라마', '스릴러']",122.0,1979-03-16,3.6229,7.164,473.0,5900000.0,51718367.0,['Columbia Pictures'],en,킴벌리 웰즈(Kimberly Wells: 제인 폰다 분)는 가벼운 이야기에서 심각한 뉴스까지 모든 걸 다 접해 보려는 TV 리포터이다. 킴벌리가 핵 발전소에 대한 특집 기사를 취재하려 할 때 그녀는 프리랜서로 일하고 있던 리처드 아담스(Richard Adams: 마이클 더글러스 분)를 카메라맨으로 고용한다. 핵에 대한 위험의 목소리가 높아지고 있을 때 그들은 취재차 발전소를 방문하고 거기서 사고를 당하게 되지만 엔지니어 잭 가델(Jack Godell: 잭 레먼 분)에 의해 간신히 모면하게 된다. 리처드는 방문 기간 중 모든 내용을 카메라에 담았고 그걸 방송국에 가서 방송을 요청하지만 거절당한다. 하지만 몰래 작품을 빼내 핵 전문가들에게 보여 주기로 한다. 한편 잭은 사고에 대해 수습은 하려하지 않고 감추기만 하려는 당국에 불만을 품게 된다. 그리고 그 속에서 이루어지고 있는 음모와 비리를 밝혀내려고 노력하면서 그는 킴벌리와 리처드에게 연락을 한다. 그 후 잭은 자신이 위험에 빠져 있다는 걸 알게 되고 그는 권총을 가지고 조정실로 간다. 그리고 그가 유일하게 믿는 방송 관계자인 킴벌리에게 자신을 인터뷰할 것을 요구한다. 한편 잭의 상사들은 한 미친 놈이 발전소를 장악했다는 소문을 퍼뜨리고 잭은 압력을 받게 된다.,"['california', 'telecaster', 'radiation', 'energy policy', 'earthquake', 'nuclear power plant', 'cinematographer', 'conspiracy', 'tv reporter', 'atomic reactor', 'whistleblower', 'falsification', 'nuclear accident', 'picketing', 'turbine']"
아미티빌의 저주,['공포'],118.0,1979-07-27,3.5604,6.302,945.0,4700000.0,86432000.0,['American International Pictures'],en,"아미티빌로 이사 온 루츠 일가에게 겨울철 난데없이 파리떼가 나타난다. 이 사건으로부터 계속되는 악령 사건은 남편을 포악하게 만들고, 온 가족은 공포에 떨기 시작한다. 악령퇴치를 위해 아미티빌을 향해 가던 신부님마저 사고를 당하게 되고, 루츠 일가의 가족들은 무력감에 빠진다. 하지만 그들은 곧 아미티빌 저택의 악령 퇴치 작전을 세우고 악령과의 싸움을 시작하는데...","['halloween', 'haunted house', 'possession', 'long island, new york', 'paranormal', 'new home', 'exorcist', 'psychotronic', 'indian burial ground', 'newspaper article', 'pets', 'haunted', 'religious horror', 'antagonistic', 'frightened', 'horrified', 'moving into haunted house']"
지구의 대참사,"['SF', '스릴러', '액션']",107.0,1979-10-19,2.9626,5.1,145.0,16000000.0,12600000.0,['American International Pictures'],en,"우주의 태양계에 한 행성이 태양의 주위를 운행하다 갑자기 궤도를 바꿔 지구와의 충돌위기에 처한다. 이런 상황은 불가능한 것이아니라 실제 지구에도 1937년에 한 행성이 20만 마일까지 근접했었다. 유성과의 충돌위기에 처한 지구는 홍수, 화산폭발, 산사태, 해일 등의 재난을 방지하기 위해 미.소가 협력해야 하나 서로를 믿지 못한다. 충돌의 시간은 점점 다가오나 위기를 모면하기 위한 협력은 이루어지지 않고 지구인들은 공포에 쌓인다.","['new york city', 'france', 'nasa', 'meteor', 'disaster', 'hong kong', 'destruction', 'united nations', 'world trade center', 'avalanche', 'flood', 'tidal wave', 'disaster movie', 'russian']"
바보 네이빈,['코미디'],94.0,1979-12-14,2.9006,6.904,831.0,4000000.0,100000000.0,['Universal Pictures'],en,"정신박약아로 버려져 흑인 가정에서 자란 바보 청년 네이빈(스티븐 마틴)은 어느날 자립하기로 큰 결심을 하고 집을 나선다. 바보기는 하지만 정직하고 순진한 매력이 있어 해리(잭키 메이슨)의 주유소에 취직한다. 주유소에 온 손님 스탠(빌 마시)의 안경이 고장나자 네이빈이 렌즈 사이에 손잡이 겸 코걸이 장치를 만들어 준다.  이후 네이빈은 놀이 공원에 취직했다가, 오토바이 묘기에 흥미를 갖는다. 그 난폭한 오토바이 묘기수에 의해 네이빈은 여자와의 첫 잠자리를 갖게 된다. 그가 어릴 때 어머니가 커서 알게 될 것이라 말해주던 '특별 용도'을 사용하게 된 것이었다. 그러다, 미용사인 마리(버나뎃 피터스)라는 금발 여인을 만난다. 그녀는 네이빈의 순진함에 반하지만, 그가 바보라 어쩔 수 없이, 첫 잠자리 후 그의 곁의 떠난다.  네이빈이 고안한 안경을 가지고 갔던 스탠은 그 손잡이 안경으로 특허를 내서 일약 거부가 되고, 약속대로 수익의 절반을 주자 바보는 졸지에 백만장자가 되는데...","['blow', 'neominstrelsy', 'phone book', 'sharecropper', 'tennis court']"
블랙홀,"['모험', 'SF', '액션']",98.0,1979-12-18,2.9425,5.8,502.0,20000000.0,35841901.0,['Walt Disney Productions'],en,미국 함대 전함 사이그너스는 시공간이 끝나는 광활하고 텅 빈 아무것도 아닌 블랙홀의 가장자리에 위태롭게 자리 잡고 있다. 그 경계를 넘는 모든 것은 미지의 세계로 들어간다. 천재 로봇과 광적인 휴머노이드의 이야기에서 관객들은 자연의 궁극적인 신비 블랙홀 속으로 환상적 모험을 떠난다.,"['space marine', 'killer robot', 'space travel', 'ghost ship', 'black hole', 'zombie', 'robot', 'deep space']"
브루드,"['공포', 'SF']",92.0,1979-05-25,2.8767,6.7,724.0,1355000.0,5000000.0,['Elgin International Films'],en,"카베스의 아내 노라는 혁신적인 정신치료법으로 명성을 얻고 있는 래글런 박사로부터 격리 치료를 받고 있다. 딸 캔디스의 온 몸에 난 상처가 노라의 행위라고 생각한 카베스는 아내가 딸에게 접근하지 못하도록 한다. 그러나 노라의 어머니와 아버지가 기형적인 얼굴을 가진 복제 아이들에게 차례로 살해당하자, 카베스는 래글런 박사를 의심하기 시작한다.","['toronto, canada', 'mutant', 'transformation', 'psychologist', 'divorce', 'psychotherapist', 'canuxploitation']"
용감한 변호사,['드라마'],119.0,1979-10-19,2.6096,7.1,526.0,6000000.0,33300000.0,['Columbia Pictures'],en,투철한 변호사 아서 커클랜드는 점차 재판 제도의 깊은 모순이 있음을 깨닫는다. 그는 억울한 젊은 피고를 변호하지만 고지식하게 규칙만 따지는 판사는 형을 언도하고 결국 형무소에서 인질극을 벌여 사살된다. 그런 판사가 강간죄로 기소되어 이 변호사에게 이 사건을 강압적으로 떠맡기게 된다. 검사와 변호사 사이에는 돈이 오가며 재판이 있기도 전에 이미 형벌이 결정돼 버린다.  변호사 아서 커클랜드는 판사의 강간죄 재판에서 검사는 평소 유감이 있는 피고가 된 판사를 잡으려고 미쳐있고 모든 것이 쇼라면서 자신이 변호를 해야할 피고가 권력을 남용하는 더러운 범인임을 주장하지만...,"['lawyer', 'courtroom', 'extramarital affair', 'courtroom drama', 'legal thriller', 'bitter']"
More American Graffiti,"['코미디', '드라마', '전쟁']",110.0,1979-08-03,2.4779,5.168,101.0,2500000.0,15000000.0,['Universal Pictures'],en,,"[""new year's eve"", 'vietnam', 'police brutality', 'hippie', 'mine', 'violence in schools', 'sequel', 'pot smoking', 'marijuana', 'student protest', 'drag racing', '1960s']"
루팡 3세: 칼리오스트로의 성,"['애니메이션', '모험', '코미디', '범죄']",102.0,1979-07-06,3.0206,7.526,1054.0,7202188.0,8194857.0,['Tokyo Movie Shinsha'],ja,"대도둑 루팡 3세는 국제 카지노를 털고 도망가지만, 그 돈이 모두 위조지폐라는 것을 깨닫고 위조지폐가 만들어진 칼리오스트로로 향한다. 그리고 우연히 괴한에게 쫓기던 여인을 구하고, 여인은 자신을 구하기 위해 애쓰다 다친 루팡을 보살펴준다. 그러나 다시 나타난 괴한들 때문에 도망을 치던 여인은 결국 괴한들에게 잡혀가고, 남겨진 그녀의 장갑을 살펴본 루팡은 그녀의 정체를 알아낸다. 그녀를 구하기로 결심한 루팡은 동료인 고에몽을 부르는데…","['treasure', 'samurai', 'casino', 'clock tower', 'castle', 'count', 'based on comic', 'thief', 'counterfeit', 'based on manga', 'counterfeit money', 'anime', 'based on tv series', 'whimsical', 'vibrant']"
노마 레이,['드라마'],110.0,1979-03-02,2.3303,7.2,179.0,4500000.0,22228000.0,['20th Century Fox'],en,"1978년 여름. 미국 남부의 한 보수적인 마을 힌레이빌은 전 주민이 대대로 방직공장 노동자로 일하는 가난한 마을이다. 서른 한 살의 미혼모 이자 이혼녀 노마 레이(샐리 필드 분)는 온 가족이 같은 공장에서 일하는 하류층 노동자 가정의 딸로 미래에 대한 꿈 없이 그날그날 방탕하게 살아간다. 어느 날 이 마을에 미국 섬유노조 소속 노동운동가 루벤 워셥스키(론 레이브만 분)가 찾아온다. 그를 통해 열악한 노동현실에 눈뜬 노마 레이는 제일 먼저 섬유노조에 가입, 이 마을의 방직공장에 노조를 결성하는 일에 앞장선다. 회사쪽의 미움을 받은 노마는 온갖 인신공격 끝에 결국 해고 당하고 감옥에 갇히지만, 그녀의 열정에 감동을 받은 노동자들은 이 공장 노조결성에 찬성표를 던진다.","['factory', 'based on novel or book', 'alabama', 'based on true story', 'single mother', 'union', 'labor', 'textile worker', 'cotton mill']"
브레이킹 어웨이,"['드라마', '코미디']",101.0,1979-05-24,2.1722,7.152,267.0,2300000.0,20000000.0,['20th Century Fox'],en,"자전거 경기에서 챔피언이 되고 싶어하는 주인공 데이브(Dave: 데니스 크리스토퍼 분)는 이태리 자전거 팀의 선수가 되는 게 꿈으로, 이태리 오페라 레코드를 들으며 이태리인 흉내를 내는 게 특기다. 그는 이태리 팀을 우상시하며 자전거 경기에서의 1등을 꿈꾸지만 정작 데이브의 아버지는 이태리인 행세를 하는 아들을 매우 못마땅해 한다.  데이브에게는 세 명의 친구가 있는데 데이브보다 조금 더 현실적인 고교 시절의 풋볼스타 마이크(Mike: 데니스 퀘이드 분), 키에 대한 컴플렉스를 가지고 있는 조그마한 무처(Moocher: 재키 얼리 헤일리 분), 그리고 에릭 세버레이드와 우디 앨런을 인용하길 좋아하는 시릴(Cyril: 데니스 스턴 분)이 바로 그들.  어느 날 데이브는 캐시(Katherine: 로빈 더글라스 분)라는 여학생을 사랑하게 되고 그녀에게 접근하기 위해 이태리 교환 학생으로 신분을 속였다가 퇴짜를 맞는다. 게다가 자전거 경기에 나갔다 자기의 우상이었던 이태리 팀에게 골탕을 먹고 다치기까지 하자, 그도 마음을 달리 먹는데...","['indiana, usa', 'sports', 'bicycle', 'coming of age', 'working class', 'teenage boy', 'serenade', 'quarry', 'cycling', 'bicycle race']"
사랑의 새출발,"['코미디', '로맨스']",105.0,1979-10-05,2.0768,6.4,58.0,10000000.0,35649012.0,['Paramount Pictures'],en,자유를 찾겠다는 핑계로 떠난 아내 제시카가 사실은 부정한 관계를 자신의 상사와 맺고 있다는 것을 알게 된 필은 그녀와 이혼을 한다. 이혼자 클럽에 가입한 필은 그곳에서 보육원 교사인 마릴린을 만나게 되는 데 그녀는 자기 주장이 약한 평범한 여자였다. 필은 그녀에게 사랑을 느끼게 되지 제시카가 필 앞에 다시 나타나면서 고민에 빠지게 된다. 모질지 못한 성격의 필은 다시 제시카 한테로 돌아가지만 역시 성격 차이를 견디지 못하고 마릴린에게로 돌아가려 한다. 필을 거절하던 마릴린도 마지막으로 적극적인 공세를 펴는 필의 구혼 작전에 결국 승락하고 만다.,"['boston, massachusetts', 'thanksgiving', 'blind date', 'romcom', 'ex-wife']"
에어포트 79,"['액션', '드라마', '스릴러']",123.0,1979-08-17,2.6697,4.728,191.0,14000000.0,13015688.0,['Universal Pictures'],en,,"['panic', 'missile', 'stewardess', 'pilot', 'hot air balloon', 'arms dealer', 'pot smoking', 'fighter jet', 'airplane accident', 'drone', 'sabotage', 'protestor', 'mountain pass', 'card playing', 'airliner', 'sign languages', 'disaster movie', 'supersonic jet', 'decompression', 'concorde']"
머펫 무비,"['모험', '음악', '가족', '코미디']",97.0,1979-06-22,2.8917,7.213,631.0,8000000.0,75200000.0,['ITC Entertainment'],en,개구리 머펫이 헐리우드에 오디션을 보러 떠나며 여정에서 친구들을 만나고 악당들에게 쫓기는 과정을 그린 영화,"['chicken', 'musical', 'puppet', 'road trip', 'fame', 'puppetry', 'hollywood', 'fozzie bear', 'floyd', 'dr teeth', 'miss piggy', 'studebaker', 'movie star', 'aftercreditsstinger', 'anthropomorphic puppets', 'muppets', 'kermit the frog']"
크레이머 대 크레이머,['드라마'],105.0,1979-12-07,2.5477,7.572,2272.0,8000000.0,106260000.0,['Columbia Pictures'],en,"광고 회사에 다니는 남편 테드(더스틴 호프만 분)와 일곱살난 아들 빌리(저스틴 헨리 분)를 뒷바라지하며 살던 조안나(메릴 스트립 분)는 어느날 새 인생을 찾겠다고 부자를 남겨둔 채 집을 나간다. 가정일이라곤 해 본적도 없는 테드는 직장 다니랴, 살림하랴, 애키우랴, 정신이 하나도 없지만 최선을 다한다. 그렇게 18개월이 지난 어느날 테드와 빌리가 나름대로 적응하며 잘 지내고 있을때 조안나는 빌리를 데려가겠다고 양육권 소송을 제기한다. 분노한 테드는 변호사를 선임하고 만반의 준비를 하지만, 그동안 빌리를 키우느라 회사 생활이 소홀해 진 것을 못마땅하게 여긴 회사측에 의해 해고를 당하는데..","['husband wife relationship', 'marriage', 'custody battle', 'divorce', 'family', 'couple', 'selfishness', 'manhattan, new york city', 'child custody', 'abandonment', 'dramatic', 'parents separating', 'compassionate']"
로이 샤이더의 째즈 클럽,['드라마'],123.0,1979-12-16,1.9628,7.5,525.0,12000000.0,37823676.0,['Columbia Pictures'],en,"무대 연출가 조 기디언(Joe Gideon : 로이 샤이더 분)은 과로와 흡연, 습관성 음주로 몸을 혹사하여 특별히 조제된 약을 먹지 않으면 안될 정도. 그런 대로 그는 새롭게 작품을 구상, 댄서들을 선발하여 자신의 기념비적인 무대를 마련코자 하는 한편, 영화를 만들어 편집 작업에 몰두하느라 쓰러질 지경에 이른다. 모든 일이 한창 고비에 이를 즈음 그는 주위의 완강한 권유로 병원에 입원한다. 심장병이란 진단에 따라 수술을 받으면서도 그는 중단된 무대 작업과 영영화를 완성하려는 집념뿐이다. 조가 환각 속의 자신과 자문자답하는 도중 그가 겪어온 인행, 구상하고 있는 작품의 편린들이 현란하게 영상위로 펼쳐진다. 한편 제작자 측은 그의 입원이 장기화 됨에 따라 흥행에서 오게될 손익을 계산해 본다. 만약 조가 죽어 쇼가 진행되지 못하면 보상금 50만달러가 고스라니 그들 손에 떨어진다는 결론이 나오자, 공연 추진을 보류한다. 이러한 사실을 알게된 조는 충격을 받고 병세가 급격히 악화되는데","['movie business', 'show business', 'tap dancing', 'film in film', 'divorce', 'broadway', 'rainstorm', 'surgery', 'editing', 'semi autobiographical', 'restroom', 'screening room', 'amphetamine', 'prescription drug abuse', 'angel of death']"
더 프리스코 키드,"['모험', '코미디', '서부', '드라마']",119.0,1979-07-06,1.8538,6.1,154.0,9200000.0,9300000.0,['Warner Bros. Pictures'],en,,"['philadelphia, pennsylvania', 'bank robber', 'rabbi', 'amish']"
혈선,"['범죄', '스릴러']",116.0,1979-06-29,1.8231,4.9,42.0,12000000.0,8200000.0,['NF Geria III-Produktion München'],en,거대한 제약회사의 딸인 엘리자베스 롤페((오드리 헵번 분)는 지적이며 아름다운 여인으로 성장한다. 어느날 아버지가 의문의 죽음을 당하자 그녀는 국제적 규모의 대기업 총수가 되면서 가장 부유하며 화려한 상속인이 된다. 그러나 누군가 그녀를 죽이려하고 있다. 언제 어디서일지 알 수 없는 끊임없는 살인 음모가 일어난다.,[]
프라퍼시,"['공포', 'SF']",102.0,1979-09-14,1.9108,5.474,135.0,12000000.0,54000000.0,['Paramount Pictures'],en,공중보건의인 주인공 로버트 베른이 환경보호국의 환경평가서 작성 의뢰를 받아 아내 메기와 함께 인디언과 미국 종이 회사의 벌목 분쟁 지역에 들어갔다가 괴수와 조우하면서 벌어지는 이야기,"['monster', 'mutant', 'native american', 'toxic', 'environmental', 'animal horror', 'antagonistic', 'foreboding']"
더 애플 덤플링 갱 라이즈 어게인,"['코미디', '가족', '서부']",88.0,1979-06-27,1.6422,6.4,68.0,5450000.0,20931111.0,['Walt Disney Productions'],en,,['spoof']
환타즘,"['공포', 'SF']",89.0,1979-03-28,1.9057,6.535,709.0,300000.0,11988469.0,['New Breed Productions'],en,'톨맨'이라는 다차원의 악마가 미국을 돌아다니며 크고 작은 마을에 이유없는 죽음과 파괴를 뿌리고 다니는데 그 와중에 주인공이 사는 마을에 오게 됐고.. 교통사고로 죽은 주인공 형의 시신을 가지고 가는데 그걸 주인공이 목격하면서 벌어지는 이야기,"['funeral', 'coffin', 'undertaker', 'evil', 'hearse', 'ice cream man \xa0', 'mausoleum', 'tall man', 'sentinals', 'sphere']"
웬 어 스트레인저 콜스,"['공포', '스릴러']",97.0,1979-09-28,1.6002,6.161,271.0,1500000.0,25000000.0,['Melvin Simon Productions'],en,,"['babysitter', 'phone call', 'sinister', 'frightened', 'horrified']"
아가사,"['드라마', '미스터리', '스릴러']",99.0,1979-02-09,1.6398,6.3,56.0,3500000.0,7500000.0,['Sweetwall'],en,아가사 크리스티의 불행했던 결혼생활을 집요하게 추적한 작품.,"['journalist', 'husband wife relationship', 'england', 'historical figure', 'disappearance', 'spa', 'mystery writer', '1920s', 'crime fiction writer', 'female writer']"
좀비 2,['공포'],91.0,1979-08-25,1.5809,6.682,621.0,497000.0,1925000.0,['Variety Film Production'],it,"표류되어 뉴욕 앞 바다까지 들어온 보트에서 좀비가 발견되자 이를 조사하러 행방된 아버지를 찾는 딸과 신문 기자가 함께 섬으로 떠난다. 그곳에는 섬 사람들이 전염병으로 죽어 좀비가 된다. 그리고 살아있는 사람을 먹으려 달려들고, 먹힌 사람들은 곧 좀비가 되어버린다. 이 기이한 일들은 과학적으로는 증명이 되지 않는 그저 부두교와 관련된 것으로 짐작하는데, 이미 온 세상은 좀비로 가득차게 된다.","['new york city', 'boat', 'voodoo', 'zombie', 'shark', 'tropical island', 'video nasty', 'caribbean']"
